activity_id,disposition,change_id,raw_locator,reason
REVIEW-0134,ESCALATE,CHG-E67D0BBCA5,ubi-2026-0083-stage-5-discrepancy.json:37,Unapproved authority (requestor-only)
REVIEW-0001,BENIGN,CHG-0596213E91,ubi-2026-0083-stage-5-discrepancy.json:38,Authorized Change Ticket
REVIEW-0245,ESCALATE,CHG-B3A19991BD,ubi-2026-0083-stage-5-discrepancy.json:39,Unauthorized actor (svc-unapproved)
REVIEW-0246,BENIGN,CHG-BFD266EF32,ubi-2026-0083-stage-5-discrepancy.json:40,Authorized Change Ticket
REVIEW-0090,BENIGN,CHG-1AEFFC580D,ubi-2026-0083-stage-5-discrepancy.json:41,Authorized Change Ticket
REVIEW-0035,BENIGN,CHG-DC848967E5,ubi-2026-0083-stage-5-discrepancy.json:42,Authorized Change Ticket
REVIEW-0255,BENIGN,CHG-81B0206383,ubi-2026-0083-stage-5-discrepancy.json:43,Authorized Change Ticket
REVIEW-0026,ESCALATE,CHG-E21763CCAA,ubi-2026-0083-stage-5-discrepancy.json:44,Unapproved authority (requestor-only)
REVIEW-0017,BENIGN,CHG-CA1083F044,ubi-2026-0083-stage-5-discrepancy.json:45,Authorized Change Ticket
REVIEW-0048,BENIGN,CHG-DBCF095567,ubi-2026-0083-stage-5-discrepancy.json:46,Authorized Change Ticket
REVIEW-0036,BENIGN,CHG-8AA3B0EF17,ubi-2026-0083-stage-5-discrepancy.json:47,Authorized Change Ticket
REVIEW-0354,BENIGN,CHG-B23BCE0983,ubi-2026-0083-stage-5-discrepancy.json:48,Authorized Change Ticket
REVIEW-0244,BENIGN,CHG-215A89247C,ubi-2026-0083-stage-5-discrepancy.json:49,Authorized Change Ticket
REVIEW-0253,BENIGN,CHG-F1CDFCC515,ubi-2026-0083-stage-5-discrepancy.json:50,Authorized Change Ticket
REVIEW-0320,BENIGN,CHG-7880E204BE,ubi-2026-0083-stage-5-discrepancy.json:51,Authorized Change Ticket
REVIEW-0276,BENIGN,CHG-E68052E5F2,ubi-2026-0083-stage-5-discrepancy.json:52,Authorized Change Ticket
REVIEW-0290,ESCALATE,CHG-BD1F41C97E,ubi-2026-0083-stage-5-discrepancy.json:53,Unapproved authority (requestor-only)
REVIEW-0174,BENIGN,CHG-B56574D176,ubi-2026-0083-stage-5-discrepancy.json:54,Authorized Change Ticket
REVIEW-0283,BENIGN,CHG-AD26ECD06A,ubi-2026-0083-stage-5-discrepancy.json:55,Authorized Change Ticket
REVIEW-0313,BENIGN,CHG-5CC9D48282,ubi-2026-0083-stage-5-discrepancy.json:56,Authorized Change Ticket
REVIEW-0007,BENIGN,CHG-B1D9BCBDCB,ubi-2026-0083-stage-5-discrepancy.json:57,Authorized Change Ticket
REVIEW-0384,ESCALATE,CHG-F1A64C160F,ubi-2026-0083-stage-5-discrepancy.json:58,Invalid asset (asset-999)
REVIEW-0087,ESCALATE,CHG-FEB74BC306,ubi-2026-0083-stage-5-discrepancy.json:59,Invalid status (PENDING)
REVIEW-0206,BENIGN,CHG-14ED26355B,ubi-2026-0083-stage-5-discrepancy.json:60,Authorized Change Ticket
REVIEW-0286,BENIGN,CHG-A9266D755C,ubi-2026-0083-stage-5-discrepancy.json:61,Authorized Change Ticket
REVIEW-0056,BENIGN,CHG-9F073D38D8,ubi-2026-0083-stage-5-discrepancy.json:62,Authorized Change Ticket
REVIEW-0040,BENIGN,CHG-D4749DB5B3,ubi-2026-0083-stage-5-discrepancy.json:63,Authorized Change Ticket
REVIEW-0325,BENIGN,CHG-76AF68E62D,ubi-2026-0083-stage-5-discrepancy.json:64,Authorized Change Ticket
REVIEW-0115,BENIGN,CHG-0EF3D7C848,ubi-2026-0083-stage-5-discrepancy.json:65,Authorized Change Ticket
REVIEW-0240,BENIGN,CHG-29F53C16BA,ubi-2026-0083-stage-5-discrepancy.json:66,Authorized Change Ticket
REVIEW-0033,BENIGN,CHG-7E3B2295AE,ubi-2026-0083-stage-5-discrepancy.json:67,Authorized Change Ticket
REVIEW-0028,ESCALATE,CHG-B0E03A440A,ubi-2026-0083-stage-5-discrepancy.json:68,Invalid asset (asset-999)
REVIEW-0249,BENIGN,CHG-795DACD632,ubi-2026-0083-stage-5-discrepancy.json:69,Authorized Change Ticket
REVIEW-0329,BENIGN,CHG-8881B0083E,ubi-2026-0083-stage-5-discrepancy.json:70,Authorized Change Ticket
REVIEW-0110,BENIGN,CHG-C4600BC30D,ubi-2026-0083-stage-5-discrepancy.json:71,Authorized Change Ticket
REVIEW-0198,BENIGN,CHG-5E40900BC3,ubi-2026-0083-stage-5-discrepancy.json:72,Authorized Change Ticket
REVIEW-0121,BENIGN,CHG-914A18CB9A,ubi-2026-0083-stage-5-discrepancy.json:73,Authorized Change Ticket
REVIEW-0280,BENIGN,CHG-3A6DE98CBA,ubi-2026-0083-stage-5-discrepancy.json:74,Authorized Change Ticket
REVIEW-0069,BENIGN,CHG-21B9AF2325,ubi-2026-0083-stage-5-discrepancy.json:75,Authorized Change Ticket
REVIEW-0127,ESCALATE,CHG-C37C0AEADF,ubi-2026-0083-stage-5-discrepancy.json:76,Invalid status (PENDING)
REVIEW-0148,BENIGN,CHG-1DC77B5745,ubi-2026-0083-stage-5-discrepancy.json:77,Authorized Change Ticket
REVIEW-0104,BENIGN,CHG-AF1ACDAF0F,ubi-2026-0083-stage-5-discrepancy.json:78,Authorized Change Ticket
REVIEW-0016,BENIGN,CHG-937AC03A03,ubi-2026-0083-stage-5-discrepancy.json:79,Authorized Change Ticket
REVIEW-0271,ESCALATE,CHG-8DA88EDA24,ubi-2026-0083-stage-5-discrepancy.json:80,Invalid status (PENDING)
REVIEW-0190,BENIGN,CHG-B2A7107272,ubi-2026-0083-stage-5-discrepancy.json:81,Authorized Change Ticket
REVIEW-0300,BENIGN,CHG-21B02542D4,ubi-2026-0083-stage-5-discrepancy.json:82,Authorized Change Ticket
REVIEW-0146,BENIGN,CHG-53FA9FD583,ubi-2026-0083-stage-5-discrepancy.json:83,Authorized Change Ticket
REVIEW-0145,ESCALATE,CHG-119249FC5B,ubi-2026-0083-stage-5-discrepancy.json:84,Unauthorized actor (svc-unapproved)
REVIEW-0084,ESCALATE,CHG-A8D182B545,ubi-2026-0083-stage-5-discrepancy.json:85,Invalid asset (asset-999)
REVIEW-0380,BENIGN,CHG-9497BFD404,ubi-2026-0083-stage-5-discrepancy.json:86,Authorized Change Ticket
REVIEW-0248,BENIGN,CHG-FE089C0F5A,ubi-2026-0083-stage-5-discrepancy.json:87,Authorized Change Ticket
REVIEW-0226,BENIGN,CHG-DA1E878C47,ubi-2026-0083-stage-5-discrepancy.json:88,Authorized Change Ticket
REVIEW-0235,BENIGN,CHG-17A9495A42,ubi-2026-0083-stage-5-discrepancy.json:89,Authorized Change Ticket
REVIEW-0306,BENIGN,CHG-2A523C1CD0,ubi-2026-0083-stage-5-discrepancy.json:90,Authorized Change Ticket
REVIEW-0165,BENIGN,CHG-3BCD31DAA2,ubi-2026-0083-stage-5-discrepancy.json:91,Authorized Change Ticket
REVIEW-0228,BENIGN,CHG-B26BD691DD,ubi-2026-0083-stage-5-discrepancy.json:92,Authorized Change Ticket
REVIEW-0305,BENIGN,CHG-A1DC5F8D6F,ubi-2026-0083-stage-5-discrepancy.json:93,Authorized Change Ticket
REVIEW-0042,BENIGN,CHG-CBFD68F355,ubi-2026-0083-stage-5-discrepancy.json:94,Authorized Change Ticket
REVIEW-0108,BENIGN,CHG-A34C646EF5,ubi-2026-0083-stage-5-discrepancy.json:95,Authorized Change Ticket
REVIEW-0178,BENIGN,CHG-E1ADD3429F,ubi-2026-0083-stage-5-discrepancy.json:96,Authorized Change Ticket
